radio,mcc,net,area,cell,unit,lon,lat,range_,samples,changeable,created,updated,averagesig,county,subcounty,ward
GSM,639,2,5066,3906,0,34.6598053,0.017166138,1000,1,1,1479309296,1479276029,0,Vihiga,Vihiga Sub County,Mungoma Ward
GSM,639,2,5009,4986,0,34.66255188,0.028152466,1000,1,1,1479309296,1479276029,0,Vihiga,Vihiga Sub County,Mungoma Ward
GSM,639,7,14207,2081,0,34.768295,0.109863,2084,2,1,1479706010,1488861626,0,Vihiga,Sabatia Sub County,North Maragoli Ward
GSM,639,7,14207,2082,0,34.764862,0.065231,2982,2,1,1479706010,1488861626,0,Vihiga,Hamisi Sub County,Gisambai Ward
GSM,639,7,14207,2083,0,34.765549,0.119705,3441,3,1,1479706010,1489747706,0,Vihiga,Sabatia Sub County,Chavakali Ward
GSM,639,3,64,26904,0,34.72160339,0.083084106,1000,1,1,1480072505,1480048429,0,Vihiga,Sabatia Sub County,Lyaduywa/izava Ward
GSM,639,2,5071,931,0,34.84794617,0.125656128,1000,1,1,1480889161,1480867513,0,Vihiga,Hamisi Sub County,Shiru Ward
GSM,639,2,5068,1030,0,34.830437,0.080338,6716,4,1,1480921631,1490396213,0,Vihiga,Hamisi Sub County,Shamakhokho Ward
GSM,639,2,5106,670,0,34.84794617,0.125656128,1000,1,1,1481196845,1481167957,0,Vihiga,Hamisi Sub County,Shiru Ward
GSM,639,3,47,15912,0,34.5677948,0.084457397,1000,1,1,1481978868,1481955562,0,Vihiga,Emuhaya Sub County,West Bunyore Ward
GSM,639,2,5067,1942,0,34.587708,0.030212,1634,2,1,1482211628,1483391100,0,Vihiga,Luanda Sub County,Luanda Township Ward
GSM,639,2,5067,2092,0,34.57878113,0.041885376,1000,1,1,1482211628,1482188589,0,Vihiga,Emuhaya Sub County,West Bunyore Ward
GSM,639,2,5067,2096,0,34.57878113,0.043258667,1000,1,1,1482211628,1482188589,0,Vihiga,Emuhaya Sub County,West Bunyore Ward
GSM,639,2,5067,372,0,34.587708,0.021973,1000,2,1,1482211628,1483391100,0,Vihiga,Luanda Sub County,Luanda Township Ward
GSM,639,2,5067,6666,0,34.591141,0.020599,1000,2,1,1482211628,1483391100,0,Vihiga,Luanda Sub County,Luanda Township Ward
GSM,639,2,5067,2094,0,34.58015442,0.050125122,1000,1,1,1482211628,1482188589,0,Vihiga,Emuhaya Sub County,West Bunyore Ward
UMTS,639,2,5554,137803334,0,34.58839417,0.024032593,1000,1,1,1483414106,1483391100,0,Vihiga,Luanda Sub County,Luanda Township Ward
UMTS,639,2,5554,137803333,0,34.58839417,0.024032593,1000,1,1,1483414106,1483391100,0,Vihiga,Luanda Sub County,Luanda Township Ward
